id,nom,pascal_case,weight,genre,nombre,qte,categories,origine,cw
1,{ h }Norman( Thavaud)?,Norman(Thavaud)?,10,M,S,1,internet youtube humour,1,
2,Emmanuel Macron,(Emmanuel)?Macron,10,M,S,1,politique centre,1,
3,Yoshi,Yoshi,10,M,S,1,fiction jeu_video,32,
4,(K(e|é)mar|Marc Jarousseau),Kemar,10,M,S,1,internet youtube,1,
5,Mario,Mario,10,M,S,1,fiction jeu_video,32,
6,Jean-Luc Mélenchon,(JeanLuc|JL|)Mélenchon,10,M,S,1,politique gauche,1,
7,Donald Trump,(Donald)?Trump,10,M,S,1,politique droite ext_droite,3,Trump
8,Kim Jong-Un,KimJongUn,10,M,S,1,politique,12,
9,Morsay,Morsay,10,M,S,1,musique internet,1,
10,Cortex,Cortex,10,M,S,1,musique internet,1,
11,Jul,Jul,10,M,S,1,culture musique,1,
12,Cyprien( Iov),Cyprien,10,M,S,1,internet youtube humour,1,
13,(Mister V|Yvick Letexier),MisterV,10,M,S,1,internet youtube culture musique cinema humour,1,
14,Squeezie,Squeezie,10,M,S,1,internet youtube culture musique,1,
15,un individu,UnIndividu,10,M,S,1,anonyme,,
16,un lycéen,UnLycéen,10,M,S,1,anonyme,1,
17,Damso,Damso,10,M,S,1,culture musique,8,
19,Elon Musk,ElonMusk,10,M,S,1,patronat,3,
20,Ramzy,Ramzy,5,M,S,1,culture humour cinema,1,
21,Rayman,Rayman,10,M,S,1,fiction jeu_video,,
22,François Fillon,(François)?Fillon,10,M,S,1,politique droite,1,
23,Nicolas Sarkozy,(Nicolas)?Sarkozy,10,M,S,1,politique droite,1,
26,Mark Zuckerberg,(Mark)?Zuckerberg,10,M,S,1,patronat gafam,3,
27,Jeff Bezos,JeffBezos,10,M,S,1,patronat gafam,3,
28,Mohamed Henni,MohamedHenni,1,M,S,1,internet youtube,1,
29,François Hollande,FrançoisHollande,10,M,S,1,politique gauche,1,
30,Luigi,Luigi,10,M,S,1,fiction jeu_video,32,
31,Wario,Wario,10,M,S,1,fiction jeu_video,32,
32,Herobrine,Herobrine,2,M,S,1,fiction jeu_video,,
33,Link,Link,10,M,S,1,fiction jeu_video,,
34,Barack Obama,(Barack)?Obama,10,M,S,1,politique centre gauche,3,
