id;action;poids;id_info
1;est mort{gse};10;1
2;retrouvé{gse} mort{gse};10;1
3;mort noyer;5;1
4;est mort{genre(sujet, puceau,e)};10;1
5;a fraudé le fisc;10;2
6;a fraudé les impôts;10;2
7;a commis de la fraude fiscale;10;2
8;est élu{gse} Président{gse} de la République{rand(, française)};10;3
9;est élu{gse} à la tête de l’État;10;3
10;devient l{genre(sujet,e,a)} nouve{genre(sujet,au,lle)} Président{gse} de la République{rand(, française)};10;3
11;est élu{gse} Président{gse} {loc_info=localite(pays)}{loc_info.nom(de)};10;3
12;devient l{genre(sujet,e,a)} nouve{genre(sujet,au,lle)} Président{gse} {loc_info=localite(pays)}{loc_info.nom(de 0)};10;3
13;placé{gse} en garde à vue;10;4
14;est arrêté{gse};10;4
15;condamné{gse} à {rand(10,20,30,50)} ans de prison dont {rand(2,5,8,10)} avec sursis;10;4
16;est activement recherché{gse} par Interpol;10;4
17;a été tué{gse};10;5
18;s’est fait{gse} planter;5;5
19;a été confirmé{gse} dans Smash;10;6
20;sera inclus{gse} dans Super Smash Bros{rand(, Ultimate)};10;6
21;a assassiné {objet=pers}{objet.nom};10;7
22;a donné des coups de sabre {objet=pers}{objet.nom(à)};1;7
23;a planté {objet=pers}{objet.nom};5;7
24;a planté un mec;10;8
25;a lâché une bombe nucléaire sur {loc_info=localisation}{loc_info.nom};10;9
26;a lâché une bombe nucléaire sur {loc_info=localisation(ville)}{loc_info.nom}{loc_info.departement};3;9
27;a payé ses impôts;10;10
28;a remis la légion d’honneur {objet=pers}{objet.nom(à)};10;11
29;a été décoré{gse} de la légion d’honneur par {objet=pers}{objet.nom};10;12
30;est nommé{gse} Premi{genre(sujet,er,ère)} Ministre par {objet=pers}{objet.nom};10;13
31;nomme {objet=pers}{objet.nom} à la tête du gouvernement;10;14
32;a décidé de dissoudre l’Assemblée Nationale;10;15
33;sort un nouvel album;2;16
34;annonce un album;2;16
35;{rand(sort un nouvel,annonce un)} album de {rand(rap,metal,punk,R’n’B,reggaeton,dancehall,raï,disco,jazz,K-pop,variété,trap,funk,synthwave,zumba,pop)};20;16
36;annonce un album de {rand(rap,metal,punk,R’n’B,reggaeton,dancehall,raï,disco,jazz)} conscient;5;16
37;annonce un album de {rand(K-pop,variété,trap,funk,synthwave,zumba,pop)} consciente;5;16
38;annonce un album de {rand(rap,metal,punk,R’n’B,reggaeton,dancehall,raï,disco,jazz)} {loc_info=localite(pays,region)}{loc_info.adjm};10;16
39;annonce un album de {rand(K-pop,variété,trap,funk,synthwave,zumba,pop)} {loc_info=localite(pays,region)}{loc_info.adjf};10;16
40;annonce un album de {rand(rap,metal,punk,R’n’B,reggaeton,dancehall,raï,disco,jazz)} {parti_info=parti}{parti.adjm};10;16
41;annonce un album de {rand(K-pop,variété,trap,funk,synthwave,zumba,pop)} {parti_info=parti}{parti.adjf};10;16
42;accepte de défier en duel {objet=pers}{objet.nom};10;17
43;accepte de défier en duel de MMA {objet=pers}{objet.nom};10;17
44;accepte d’affronter {objet=pers}{objet.nom};10;17
45;accepte de défier en duel de sabre {objet=pers}{objet.nom};10;18
46;accepte de défier en duel de shifumi {objet=pers}{objet.nom};10;19
47;devient premi{genre(sujet,er,ère)} secrétaire du bureau politique du Parti Communiste Français et guidera la République vers son destin socialiste;10;20
48;se porte candidat{gse} à l’élection présidentielle{loc_info=localite(France)};10;21
49;est candidat{gse} à l’élection présidentielle{loc_info=localite(France)};10;21
50;se porte candidat{gse} à la succession {objet=pers}{objet.nom(de)} à là tête du pays{loc_info=localite(France)};10;21
51;se porte candidat{gse} à l’élection présidentielle {loc_info=localite(pays)}{loc_info.nom(de)};10;21
52;est candidat{gse} à l’élection présidentielle {loc_info=localite(pays)}{loc_info.nom(de)};10;21
53;se porte candidat{gse} à la succession {objet=pers}{objet.nom(de)} à là tête {loc_info=localite(pays)}{loc_info.nom(de)};10;21
54;a signé un accord de dénucléarisation avec {loc_info=localite(pays)}{loc_info.nom};10;22
55;a engagé un processus de dénucléarisation avec {loc_info=localite(pays)}{loc_info.nom};10;22
56;est sacré{gse} {rand(Roy,Reine)} de France et de Navarre;10;23
57;est sacré{gse} {rand(Roy,Reine)} de France;10;23
58;est sacré{gse} {rand(Empereur,Impératrice)} {loc_info=localite(pays,region)}{loc_info.nom(de 0)};10;23
59;est sacré{gse} {rand(Roy,Reine)} {loc_info=localite(pays,region)}{loc_info.nom(de 0)};10;23
60;a obtenu son brevet des collèges;10;24
61;a cru apercevoir un OVNI;10;25
62;a aperçu un OVNI;10;25
63;jouera dans le prochain film {objet=pers}{objet.nom(de)};10;26
64;poursuit {objet=pers}{objet.nom} en justice;10;27
65;attaque {objet=pers}{objet.nom} en justice;10;27
66;a dabé;10;28
67;aurait été aperçu{gse} sur la surface de Mars;10;29
68;aurait été aperçu{gse};10;29
69;aurait été aperçu{gse} de manière fantomatique;10;29
70;a été aperçu{gse} en train de prendre de la drogue;10;30
71;a été aperçu{gse} en train de prendre du cannabis;10;30
72;a été aperçu{gse} en train de se rouler un gros splif;10;30
73;a été aperçu{gse} en train de se rouler un gros joint;10;30
74;a été aperçu{gse} en fursuit;10;31
75;a été aperçu{gse} en combinaison furry;10;31
76;a cassé sa télévision;10;32
77;se lance dans le porno;2;34
78;se lance dans la pornographie;2;34
79;se lance dans le X;2;34
80;met un terme à sa carrière dans le X;2;34
81;met un terme à sa carrière dans le porno;2;34
82;se lance dans la musique;10;33
83;se lance dans la chanson;10;33
84;se lance dans le cinéma;10;34
85;se lance dans la politique;10;35
86;met un terme à sa carrière dans la musique;10;36
87;met un terme à sa carrière dans la chanson;10;36
88;met un terme à sa carrière dans le cinéma;10;37
89;met un terme à sa carrière dans la pornographie;5;37
90;met un terme à sa carrière dans la politique;10;38
91;met un terme à sa carrière sur YouTube;10;39
92;devient secrétaire général{gse} de la CGT;10;40
93;s’est pris{gse} en selfie avec {objet=pers}{objet.nom};10;41
94;en photo avec {objet=pers}{objet.nom};10;41
95;a fait son coming out sapiosexuel{genre(sujet,,le)};10;42
96;a fait son coming out asexuel{genre(sujet,,le)};2;42
97;a fait son coming out game{genre(sujet,r,use)};10;42
98;est élu{gse} personnalité préférée des français;10;43
99;a décidé de dissoudre l’Assemblée Nationale;10;44
100;rachète Facebook;10;45
101;rachète Amazon;10;45
102;annonce sa démission;10;46
103;démissionne de ses fonctions;10;46
104;est destitué{gse} de ses fonctions;10;47
105;provoque {objet=pers}{objet.nom};10;48
106;clashe  {objet=pers}{objet.nom};10;48
107;provoque {objet=pers}{objet.nom} en duel;10;48
108;provoque {objet=pers}{objet.nom} en duel de MMA;10;48
109;provoque {objet=pers}{objet.nom} en duel de sabre;2;48
110;a accès aux codes nucléaires;10;49
111;aurait eu accès aux codes de la bombe atomique;10;49
112;représentera la France à l’Eurovision;10;50
113;représentera la France au Concours Eurovision de la Chanson;10;50
114;représentera {loc_info=localite(pays)}{loc_info.nom} à l’Eurovision;10;50
115;représentera {loc_info=localite(pays)}{loc_info.nom} au concours Eurovision de la Chanson;10;50
116;se bat avec {objet=pers}{objet.nom};10;51
117;{rand(est ,)}pressenti{gse} pour {rand(être,devenir)} Ministre {rand(de l’Écologie,de la Culture,de l’Intérieur,de l’Économie,de l’Égalité femmes-hommes,des Finances,des Affaires étrangères,de l’Information)};10;52
118;{rand(est ,)}nommé{gse} Ministre {rand(de l’Écologie,de la Culture,de l’Intérieur,de l’Économie,de l’Égalité femmes-hommes,des Finances,des Affaires étrangères,de l’Information)};10;53
119;annonce un nouvel iPhone;10;54
120;annonce l’iPhone {rand(11S,11S Pro,11S Pro Plus,11 Pro Plus Max,11S Pro Max,11 Pro Plus Menu Maxi Best-of)};10;54
