id;description;url;format;poids;id_pers;id_info
1;Norman Thavaud;https://upload.wikimedia.org/wikipedia/commons/3/3d/Norman_Thavaud_Cannes_2015.jpg;jpg;10;1;
2;Emmanuel Macron;https://focus.nouvelobs.com/2019/10/17/258/0/5424/2712/633/306/75/0/3767ce7_T4I__vdHueenEVjN-0u2PYuq.jpg;jpg;5;2;
3;Yoshi;https://3.bp.blogspot.com/-mbijKAi96Xs/UNxdLiila3I/AAAAAAAAjHY/x_Pj4Z1BnL8/s1600/mario-party-advance-yoshi2.jpg;jpg;10;3;
4;Gros Yoshi;https://www.pngkey.com/png/detail/35-356241_1mib-812x977-fat-yoshi-thicc-yoshi.png;png;1;3;
5;Kemar;http://diffusionph.cccommunication.biz/jpgok/RepGR/392/392986_32.jpg;jpg;10;4;
6;Mario;https://i.pinimg.com/originals/eb/cf/79/ebcf7969ff6711ab99e0fc0a610921b6.jpg;jpg;10;5
7;Mario T-pose;https://media.moddb.com/images/mods/1/6/5877/mario_hd_render.jpg;jpg;2;5;
8;Jean-Luc Mélenchon;https://amp.agoravox.fr/local/cache-vignettes/L768xH576/cover-r4x3w1000-59e64a2c27218-000-pz7n1-1-a58a8.jpg;jpg;1;6;
9;Jean-Luc Mélenchon;https://img.aws.la-croix.com/2019/12/09/1201065399/Jean-Luc-Melenchon-15-novembre-Marseille-Je-condamne-rebellion-encouragement-rebellion-Je-seraiun-rebelle-officiel-declare-3-decembre-quotidien-20-minutes_0_729_486.jpg;jpg;10;6;
10;Donald Trump;https://thenypost.files.wordpress.com/2018/07/180710-donald-trump-feature-image.jpg?quality=90&strip=all&w=1200;jpg;10;7;
11;Donald Trump;https://media.salon.com/2015/08/donald_trump18-580x385.jpg;jpg;10;7;
12;Kim Jong-Un;https://upload.wikimedia.org/wikipedia/commons/7/76/Kim_and_Trump_standing_next_to_each_other_%28cropped%29.jpg;jpg;10;8;
13;Morsay;https://www.newzikstreet.com/wp-content/uploads/2016/10/morsay-e1477597835619.png;png;10;9;
14;Professeur Morsay;https://media.senscritique.com/media/000008640559/source_big/Les_analyses_du_professeur_Morsay.jpg;jpg;2;9;
15;Cortex;https://2.bp.blogspot.com/-2W9VBam8f2w/Tbva6nmmjgI/AAAAAAAAAew/6cUAkuAyPwo/s1600/article729.jpg;jpg;10;10;
16;Jul;https://www.greenroom.fr/wp-content/uploads/2017/07/jul--780x550.jpg;jpg;10;11;
17;Cyprien Iov;https://data.topquizz.com/distant/quizz/big/3/1/6/6/16613_4e7ec382be.jpg;jpg;5;12;
18;Cyprien Iov;https://www.babelio.com/users/AVT_Cyprien-Iov_9145.jpg;jpg;10;12;
19;Mister V;http://www.influenth.com/wp-content/uploads/2016/04/MISTERV_02-759x500.jpg;jpg;10;13;
20;Squeezie;https://s.yimg.com/ny/api/res/1.2/2btlFizIVfTEsH1Naa5ohA--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9ODAw/http://media.zenfs.com/fr-FR/homerun/capital.fr/6d879cc1dde2d825fbf298cfdceb24b5;jpg;10;14;
21;Rayman;https://pbs.twimg.com/media/D-rIl9JWsAAeeai?format=png&name=large;png;10;21;
22;Damso;https://www.raprnb.com/wp-content/uploads/2018/06/Damso-1.jpg;jpg;10;17;
23;Luis Fonsi;https://i.scdn.co/image/6004641991ca63396cccdd8553f9120d69ea58d0;jpg;10;18;
24;Elon Musk;https://static.theceomagazine.net/wp-content/uploads/2018/10/15093202/elon-musk-1100x733.jpg;jpg;10;19;
25;Elon Musk qui fume;https://cdn.motor1.com/images/mgl/0AYjV/s6/elon-musk-fume-un-joint.jpg;jpg;5;19;
26;Ramzy Bedia;https://www4.pictures.zimbio.com/gi/Ramzy+Bedia+8th+Film+Festival+Lumiere+Lyon+L9gGmom30K0l.jpg;jpg;10;20;
27;Jeff Bezos;https://pixel.nymag.com/imgs/daily/intelligencer/2019/02/14/14-jeff-bezos.w700.h700.jpg;jpg;10;27;
28;Mohamed Henni;https://i.ytimg.com/vi/TSP4GdNwy9s/maxresdefault.jpg;jpg;10;28;
29;François Fillon;https://pbs.twimg.com/media/C3HuUUVXAAAU1Cw?format=jpg&name=large;jpg;10;22;
30;Nicolas Sarkozy;https://2.bp.blogspot.com/-7Oyz07WW60g/ToRk8Xxk_3I/AAAAAAAAAmk/LOHBHHBs5E4/s1600/Nicolas+Sarkozy3.jpg;jpg;10;23;
31;Inspecteur des impôts;https://www.orientation-education.com/files/2018-04/fotolia-200815289-subscription-xxl.jpg;jpg;10;24;
32;Mark Zuckerberg;https://amp.businessinsider.com/images/5b9198c50ce5f597208b4e1a-750-563.jpg;jpg;10;26;
