id;nom;nom_en;nom_colle;poids;adjm;adjf;departement;emoji;type
1;la France;France;France;10;français;française;;🇫🇷;pays
2;l’Allemagne;Germany;Allemagne;10;allemand;allemande;;🇩🇪;pays
3;les États-Unis{rand(, d’Amérique)};{rand(USA,America)};{rand(USA,America)};10;américain;américaine;;🇺🇸;pays
4;le Royaume-Uni;United Kingdom;UK;10;britannique;britannique;;🇬🇧;pays
5;l’Espagne;Spain;Espagne;10;espagnol;espagnole;;🇪🇸;pays
6;le Portugal;Portugal;Portugal;10;portugais;portugaise;;🇵🇹;pays
7;l’Italie;Italy;Italie;10;italien;italienne;;🇮🇹;pays
8;la Belgique;Belgium;Belgique;10;belge;belge;;🇧🇪;pays
9;le Canada;Canada;Canada;10;canadien;canadienne;;🇨🇦;pays
10;la {rand(Chine,RPC)};China;Chine;10;chinois;chinoise;;🇨🇳;pays
11;le Japon;Japan;Japon;10;japonais;japonaise;;🇯🇵;pays
12;la Corée du Nord;North Korea;DPRK;10;nord-coréen;nord-coréenne;;🇰🇵;pays
13;la Corée du Sud;{rand(South ,)}Korea;Corée;10;{rand(sud-,)}coréen;{rand(sud-,)}coréenne;;🇰🇷;pays
14;la Russie;Russia;Russie;10;russe;russe;;🇷🇺;pays
15;le Brésil;Brazil;Brésil;10;brésilien;brésilienne;;🇧🇷;pays
16;le Vénézuéla;Venezuela;Venezuela;10;vénézuélien;vénézuélienne;;🇻🇪;pays
17;le Mexique;Mexico;Mexique;10;mexicain;mexicaine;;🇲🇽;pays
18;l’Autriche;Austria;Autriche;10;autrichien;autrichienne;;🇦🇹;pays
19;la Suisse;Switzerland;Suisse;10;suisse;suisse;;🇨🇭;pays
20;l’Inde;India;Inde;10;indien;indien;;🇮🇳;pays
21;l’Algérie;Algeria;Algérie;10;algérien;algérienne;;🇩🇿;pays
22;le Maroc;Morocco;Maroc;10;marocain;marocaine;;🇲🇦;pays
23;Israël;Israel;Israël;10;israélien;israélienne;;🇮🇱;pays
24;la Palestine;Palestine;Palestine;10;palestinien;palestinienne;;🇵🇸;pays
25;la Syrie;Syria;Syrie;10;syrien;syrienne;;🇸🇾;pays
