id;nom;poids
1;le Monde;10
2;le Figaro;10
3;l’Express;10
4;Libération;10
5;Ouest-France;10
6;la Voix du Nord;10
7;le {rand(JDD,Journal du Dimanche)};10
8;le Point;10
9;Corse-Matin;10
10;l’Humanité;10
11;Valeurs Actuelles;5
12;le Courrier de l’Ouest;10
13;le Parisien;10
14;le Maine Libre;5
15;le Journal de Mickey;5
16;l’Équipe;5
17;TF1;5
18;France Info;10
19;BFM TV;10
20;RMC;10
21;Mediapart;10
22;le Média;5
23;Konbini;5
24;Canal+;5
25;la Provence;10
26;CNEWS;10
27;notre rédaction;10
28;Quotidien;2
29;Brut;2
30;Al Jazeera;1
31;Russia Today;1
32;CNN;5
33;Fox News;2
34;le Gorafi;5
35;Memri TV;1
